sync,label,dirtyChunks,liveChunks,shape,restoreRequests,restoreBytes,storageBytes,uploadRequestsCumulative
35,"work 32: rewrite part of f5",4,317,chunk-exploded,320,83138376,165363765,766
36,"work 33: edit with vim",6,317,chunk-exploded,320,83138376,166975357,776
37,"work 34: delete f19, create g34",11,317,chunk-exploded,320,83138376,169897669,791
38,"work 35: package churn",11,317,chunk-exploded,320,83138376,172557837,805
39,"work 36: append to log",4,317,chunk-exploded,320,83138376,173645141,813
40,"work 37: rewrite part of f20",4,317,chunk-exploded,320,83138376,174732445,821
41,"work 38: edit with vim",6,317,chunk-exploded,320,83138376,176081893,830
42,"work 39: delete f14, create g39",12,317,chunk-exploded,320,83138376,179266349,846
43,"work 40: package churn",12,318,chunk-exploded,321,83400642,181140207,857
1,"format and mount",64,64,restic,22,2628629,2628318,13
2,"unpack alpine",67,95,restic,25,29375617,31477669,27
3,"install vim",236,294,restic,31,83454747,106419713,44
4,"grow 1: new 128k file",16,295,restic,35,86100465,112345286,57
5,"grow 2: new 256k file",12,295,restic,39,87251385,118999309,70
6,"grow 3: new 512k file",14,298,restic,41,86981786,126971296,83
7,"grow 4: new 64k file",10,298,restic,43,86983035,133747609,96
8,"grow 5: new 128k file",10,298,restic,43,86984382,141689060,109
9,"grow 6: new 256k file",12,299,restic,47,86985799,150467995,122
10,"grow 7: new 512k file",15,301,restic,45,90659219,174515784,136
11,"grow 8: new 64k file",10,301,restic,48,91184820,180791755,149
12,"grow 9: new 128k file",11,302,restic,49,91186092,187749386,162
13,"grow 10: new 256k file",11,303,restic,50,91187360,194707023,175
14,"grow 11: new 512k file",13,306,restic,51,91714159,215688288,189
15,"grow 12: new 64k file",10,306,restic,53,92239692,222773934,202
16,"grow 13: new 128k file",11,306,restic,54,91716705,230384004,215
17,"grow 14: new 256k file",12,307,restic,56,92242397,237994096,228
18,"grow 15: new 512k file",12,309,restic,58,92768120,245476233,241
19,"grow 16: new 64k file",10,310,restic,60,92769218,252433803,254
20,"grow 17: new 128k file",11,310,restic,61,92770437,259391383,267
21,"grow 18: new 256k file",12,312,restic,62,93296077,266873386,280
22,"grow 19: new 512k file",14,314,restic,64,93297380,274355421,293
23,"grow 20: new 64k file",10,314,restic,67,93298476,279588578,306
24,"work 21: append to log",7,314,restic,69,94895330,283611350,319
25,"work 22: rewrite part of f15",3,314,restic,70,95729922,285504904,332
26,"work 23: edit with vim",9,314,restic,72,95398862,289898230,345
27,"work 24: delete f9, create g24",12,315,restic,72,91729852,301339248,358
28,"work 25: package churn",11,316,restic,75,92779958,305684721,371
29,"work 26: append to log",4,316,restic,76,93305275,309182976,384
30,"work 27: rewrite part of f10",4,316,restic,77,93830431,311076894,397
31,"work 28: edit with vim",6,316,restic,80,93307014,313372433,410
32,"work 29: delete f4, create g29",11,316,restic,77,92259896,329051528,423
33,"work 30: package churn",11,317,restic,79,93332665,331823735,436
34,"work 31: append to log",5,317,restic,81,94382208,333954991,449
35,"work 32: rewrite part of f5",4,317,restic,83,93858789,336488557,462
36,"work 33: edit with vim",6,317,restic,84,93335426,339308459,475
37,"work 34: delete f19, create g34",11,317,restic,84,92789398,345009404,488
38,"work 35: package churn",11,317,restic,86,92790478,349420333,501
39,"work 36: append to log",4,317,restic,89,92791431,351551600,514
40,"work 37: rewrite part of f20",4,317,restic,91,93382168,353511058,527
41,"work 38: edit with vim",6,317,restic,92,93383048,355806577,540
42,"work 39: delete f14, create g39",12,317,restic,91,92794361,361507539,553
43,"work 40: package churn",12,318,restic,92,92795301,364279745,566
43,"after repair index",12,318,restic-compacted,50,92783666,364271789,620
