sync,phase,uploadRequests,uploadRequestsCumulative,uploadSeconds,storageBytes,restoreRequests,restoreBytes,restoreSeconds,restoreIndex,restoreData,restoreOther
262,backup,13,3406,1.099,1004538109,,,,,,
263,backup,13,3419,1.049,1007170026,,,,,,
264,backup,13,3432,1.057,1010064142,,,,,,
265,backup,13,3445,1.14,1014269287,,,,,,
266,backup,13,3458,1.164,1020084340,,,,,,
267,backup,13,3471,1.103,1022978392,,,,,,
268,backup,13,3484,1.08,1025852490,,,,,,
269,backup,13,3497,1.078,1029270952,,,,,,
270,backup,13,3510,1.01,1031640723,,,,,,
271,backup,13,3523,1.126,1034856355,,,,,,
272,backup,13,3536,1.1,1039585871,,,,,,
273,backup,13,3549,1.355,1048138571,,,,,,
274,backup,13,3562,1.068,1051204575,,,,,,
275,backup,13,3575,1.106,1053793957,,,,,,
276,backup,13,3588,1.092,1056688213,,,,,,
277,backup,13,3601,1.177,1061288128,,,,,,
278,backup,13,3614,1.214,1068980183,,,,,,
279,backup,13,3627,1.107,1073830033,,,,,,
280,backup,13,3640,1.045,1076200064,,,,,,
281,backup,13,3653,1.049,1078722495,,,,,,
282,backup,13,3666,1.073,1081092425,,,,,,
283,backup,13,3679,1.186,1084463139,,,,,,
284,backup,13,3692,1.301,1092183737,,,,,,
285,backup,13,3705,1.083,1097748253,,,,,,
286,backup,13,3718,1.076,1101167306,,,,,,
287,backup,13,3731,1.159,1107452231,,,,,,
288,backup,13,3744,1.127,1113279009,,,,,,
289,backup,13,3757,1.097,1117640482,,,,,,
290,backup,13,3770,1.145,1121310487,,,,,,
291,backup,13,3783,1.204,1125801303,,,,,,
292,backup,13,3796,1.05,1129744833,,,,,,
293,backup,13,3809,1.18,1134737153,,,,,,
294,backup,13,3822,1.142,1138676288,,,,,,
295,backup,13,3835,1.122,1142020011,,,,,,
296,backup,13,3848,1.206,1145518147,,,,,,
297,backup,13,3861,1.141,1150248176,,,,,,
298,backup,13,3874,1.121,1155728490,,,,,,
299,backup,13,3887,1.143,1158963099,,,,,,
300,backup,13,3900,1.088,1161595766,,,,,,
301,backup,13,3913,1.179,1166896552,,,,,,
302,backup,13,3926,1.105,1169313310,,,,,,
303,backup,13,3939,1.116,1172470190,,,,,,
304,backup,13,3952,1.311,1181577463,,,,,,
305,backup,13,3965,1.182,1186588747,,,,,,
306,backup,13,3978,1.138,1190844965,,,,,,
307,backup,13,3991,1.052,1194143390,,,,,,
308,backup,13,4004,1.252,1203241311,,,,,,
309,backup,13,4017,1.122,1206398239,,,,,,
310,backup,13,4030,1.124,1210665977,,,,,,
311,backup,13,4043,1.168,1215133704,,,,,,
312,backup,13,4056,1.094,1219754008,,,,,,
313,backup,13,4069,1.137,1223415388,,,,,,
314,backup,13,4082,1.052,1226572344,,,,,,
