sync,shape,restoreRequests,restoreBytes,storageBytes,uploadRequestsCumulative
115,delta-pack,null,null,115607268,460
116,delta-pack,null,null,116655860,464
117,delta-pack,null,null,117704452,468
118,delta-pack,null,null,118753044,472
119,delta-pack,null,null,119801636,476
120,delta-pack,122,120850228,120850228,480
1,chunk-exploded,7,1049214,1049214,8
2,chunk-exploded,null,null,2098906,16
3,chunk-exploded,null,null,3149078,24
4,chunk-exploded,null,null,3937106,31
5,chunk-exploded,null,null,4987400,39
6,chunk-exploded,null,null,5775550,46
7,chunk-exploded,null,null,6563822,53
8,chunk-exploded,null,null,7352094,60
9,chunk-exploded,null,null,8402632,68
10,chunk-exploded,20,4458655,9453415,76
11,chunk-exploded,null,null,10504442,84
12,chunk-exploded,null,null,11555469,92
13,chunk-exploded,null,null,12606618,100
14,chunk-exploded,null,null,13657767,108
15,chunk-exploded,null,null,14709038,116
16,chunk-exploded,null,null,15760309,124
17,chunk-exploded,null,null,16811702,132
18,chunk-exploded,null,null,17863217,140
19,chunk-exploded,null,null,18914732,148
20,chunk-exploded,null,null,19966369,156
21,chunk-exploded,null,null,21018006,164
22,chunk-exploded,null,null,22069643,172
23,chunk-exploded,null,null,23121642,180
24,chunk-exploded,null,null,24173641,188
25,chunk-exploded,null,null,25225758,196
26,chunk-exploded,null,null,26015731,203
27,chunk-exploded,null,null,26805704,210
28,chunk-exploded,null,null,27857821,218
29,chunk-exploded,null,null,28909938,226
30,chunk-exploded,32,7605839,29962177,234
31,chunk-exploded,null,null,31014536,242
32,chunk-exploded,null,null,32067017,250
33,chunk-exploded,null,null,33119498,258
34,chunk-exploded,null,null,34171979,266
35,chunk-exploded,null,null,35224460,274
36,chunk-exploded,null,null,36277183,282
37,chunk-exploded,null,null,37330028,290
38,chunk-exploded,null,null,38382995,298
39,chunk-exploded,null,null,39436082,306
40,chunk-exploded,null,null,40489169,314
41,chunk-exploded,null,null,41542496,322
42,chunk-exploded,null,null,42595943,330
43,chunk-exploded,null,null,43649510,338
44,chunk-exploded,null,null,44703199,346
45,chunk-exploded,null,null,45757010,354
46,chunk-exploded,null,null,46548919,361
47,chunk-exploded,null,null,47603092,369
48,chunk-exploded,null,null,48657265,377
49,chunk-exploded,null,null,49711558,385
50,chunk-exploded,null,null,50766093,393
51,chunk-exploded,null,null,51558604,400
52,chunk-exploded,null,null,52613381,408
53,chunk-exploded,null,null,53668158,416
54,chunk-exploded,null,null,54722935,424
55,chunk-exploded,null,null,55777954,432
56,chunk-exploded,null,null,56832973,440
57,chunk-exploded,null,null,57887992,448
58,chunk-exploded,null,null,58943011,456
59,chunk-exploded,null,null,59998150,464
60,chunk-exploded,57,14162461,61053411,472
61,chunk-exploded,null,null,62108672,480
62,chunk-exploded,null,null,63163933,488
63,chunk-exploded,null,null,63957050,495
64,chunk-exploded,null,null,65012311,503
65,chunk-exploded,null,null,66067572,511
66,chunk-exploded,null,null,67122833,519
67,chunk-exploded,null,null,68178094,527
68,chunk-exploded,null,null,69233355,535
69,chunk-exploded,null,null,70288616,543
70,chunk-exploded,null,null,71343877,551
71,chunk-exploded,null,null,72399138,559
72,chunk-exploded,null,null,73454399,567
73,chunk-exploded,null,null,74509660,575
74,chunk-exploded,null,null,75564921,583
75,chunk-exploded,null,null,76358038,590
76,chunk-exploded,null,null,77151155,597
77,chunk-exploded,null,null,78206416,605
78,chunk-exploded,null,null,79261677,613
79,chunk-exploded,null,null,80316938,621
80,chunk-exploded,null,null,81372199,629
81,chunk-exploded,null,null,82427460,637
82,chunk-exploded,null,null,83482721,645
83,chunk-exploded,null,null,84537982,653
84,chunk-exploded,null,null,85593243,661
85,chunk-exploded,null,null,86648504,669
86,chunk-exploded,null,null,87703765,677
87,chunk-exploded,null,null,88759026,685
88,chunk-exploded,null,null,89814287,693
89,chunk-exploded,null,null,90869548,701
90,chunk-exploded,57,14162461,91662665,708
91,chunk-exploded,null,null,92455782,715
92,chunk-exploded,null,null,93511043,723
93,chunk-exploded,null,null,94566304,731
94,chunk-exploded,null,null,95621565,739
95,chunk-exploded,null,null,96676826,747
96,chunk-exploded,null,null,97732087,755
97,chunk-exploded,null,null,98787348,763
98,chunk-exploded,null,null,99842609,771
99,chunk-exploded,null,null,100635726,778
100,chunk-exploded,null,null,101690988,786
101,chunk-exploded,null,null,102484106,793
102,chunk-exploded,null,null,103539368,801
103,chunk-exploded,null,null,104594630,809
104,chunk-exploded,null,null,105649892,817
105,chunk-exploded,null,null,106443010,824
106,chunk-exploded,null,null,107498272,832
107,chunk-exploded,null,null,108553534,840
108,chunk-exploded,null,null,109608796,848
109,chunk-exploded,null,null,110664058,856
110,chunk-exploded,null,null,111719320,864
111,chunk-exploded,null,null,112774582,872
112,chunk-exploded,null,null,113829844,880
113,chunk-exploded,null,null,114622962,887
114,chunk-exploded,null,null,115416080,894
115,chunk-exploded,null,null,116209198,901
116,chunk-exploded,null,null,117264460,909
117,chunk-exploded,null,null,118319722,917
118,chunk-exploded,null,null,119374984,925
119,chunk-exploded,null,null,120430246,933
120,chunk-exploded,57,14162462,121485508,941
